model,classifier,fs_config,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN
DenseNet121,SVM_C0.1,ANOVA100_PCA30,0.6750,0.1379,0.9804,0.2353,0.6254,4,50,1,25
DenseNet121,SVM_C0.1,ANOVA100_PCA20,0.6750,0.1379,0.9804,0.2353,0.6220,4,50,1,25
InceptionV3,SVM_C0.1,ANOVA100_PCA20,0.6750,0.1379,0.9804,0.2353,0.6193,4,50,1,25
InceptionV3,SVM_C0.1,ANOVA200,0.6750,0.1034,1.0000,0.1875,0.6112,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA20,0.6750,0.1034,1.0000,0.1875,0.6099,3,51,0,26
InceptionV3,SVM_C0.1,ANOVA200_PCA30,0.6750,0.1034,1.0000,0.1875,0.6092,3,51,0,26
InceptionV3,SVM_C0.1,ANOVA200_PCA20,0.6750,0.1034,1.0000,0.1875,0.6085,3,51,0,26
InceptionV3,SVM_C0.1,ANOVA200_PCA15,0.6750,0.1034,1.0000,0.1875,0.6018,3,51,0,26
InceptionV3,SVM_C0.1,ANOVA200_PCA10,0.6750,0.1034,1.0000,0.1875,0.5991,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA200_PCA5,0.6750,0.1034,1.0000,0.1875,0.5963,3,51,0,26
InceptionV3,SVM_poly3_C0.1,PCA5,0.6750,0.1034,1.0000,0.1875,0.5882,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA50_PCA5,0.6750,0.1034,1.0000,0.1875,0.5862,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA200_PCA5,0.6750,0.1034,1.0000,0.1875,0.5855,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA100_PCA10,0.6750,0.1034,1.0000,0.1875,0.5828,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA100_PCA5,0.6750,0.1034,1.0000,0.1875,0.5808,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA100,0.6750,0.1034,1.0000,0.1875,0.5794,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA100_PCA15,0.6750,0.1034,1.0000,0.1875,0.5794,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA100_PCA20,0.6750,0.1034,1.0000,0.1875,0.5774,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA100_PCA30,0.6750,0.1034,1.0000,0.1875,0.5767,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA50_PCA10,0.6750,0.1034,1.0000,0.1875,0.5767,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA50_PCA15,0.6750,0.1034,1.0000,0.1875,0.5720,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA50_PCA20,0.6750,0.1034,1.0000,0.1875,0.5700,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA50,0.6750,0.1034,1.0000,0.1875,0.5693,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA50_PCA30,0.6750,0.1034,1.0000,0.1875,0.5693,3,51,0,26
InceptionV3,SVM_poly3_C0.1,PCA20,0.6750,0.1034,1.0000,0.1875,0.5686,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA100_PCA5,0.6750,0.1034,1.0000,0.1875,0.5673,3,51,0,26
InceptionV3,SVM_poly3_C0.1,PCA10,0.6750,0.1034,1.0000,0.1875,0.5639,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA200_PCA20,0.6750,0.1034,1.0000,0.1875,0.5632,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA200,0.6750,0.1034,1.0000,0.1875,0.5625,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA200_PCA10,0.6750,0.1034,1.0000,0.1875,0.5619,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA200_PCA30,0.6750,0.1034,1.0000,0.1875,0.5612,3,51,0,26
InceptionV3,SVM_poly3_C0.1,ANOVA200_PCA15,0.6750,0.1034,1.0000,0.1875,0.5605,3,51,0,26
InceptionV3,SVM_poly2_C0.1,PCA5,0.6750,0.1034,1.0000,0.1875,0.5571,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA100,0.6750,0.1034,1.0000,0.1875,0.5565,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA100_PCA30,0.6750,0.1034,1.0000,0.1875,0.5565,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA100_PCA15,0.6750,0.1034,1.0000,0.1875,0.5551,3,51,0,26
InceptionV3,SVM_poly3_C0.1,PCA15,0.6750,0.1034,1.0000,0.1875,0.5544,3,51,0,26
InceptionV3,SVM_poly3_C0.1,PCA30,0.6750,0.1034,1.0000,0.1875,0.5531,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA100_PCA10,0.6750,0.1034,1.0000,0.1875,0.5510,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA100_PCA20,0.6750,0.1034,1.0000,0.1875,0.5510,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA200_PCA10,0.6750,0.1034,1.0000,0.1875,0.5510,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA200,0.6750,0.1034,1.0000,0.1875,0.5483,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA200_PCA15,0.6750,0.1034,1.0000,0.1875,0.5470,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA50_PCA20,0.6750,0.1034,1.0000,0.1875,0.5470,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA50_PCA15,0.6750,0.1034,1.0000,0.1875,0.5463,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA50_PCA10,0.6750,0.1034,1.0000,0.1875,0.5450,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA50_PCA30,0.6750,0.1034,1.0000,0.1875,0.5450,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA200_PCA30,0.6750,0.1034,1.0000,0.1875,0.5443,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA50_PCA5,0.6750,0.1034,1.0000,0.1875,0.5443,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA50,0.6750,0.1034,1.0000,0.1875,0.5436,3,51,0,26
InceptionV3,SVM_poly2_C0.1,ANOVA200_PCA20,0.6750,0.1034,1.0000,0.1875,0.5396,3,51,0,26
InceptionV3,SVM_poly3_C0.1,PCA50,0.6750,0.1034,1.0000,0.1875,0.5368,3,51,0,26
InceptionV3,SVM_poly2_C0.1,PCA10,0.6750,0.1034,1.0000,0.1875,0.5308,3,51,0,26
InceptionV3,SVM_poly2_C0.1,PCA20,0.6750,0.1034,1.0000,0.1875,0.5159,3,51,0,26
InceptionV3,SVM_poly2_C0.1,PCA15,0.6750,0.1034,1.0000,0.1875,0.5152,3,51,0,26
InceptionV3,SVM_poly2_C0.1,PCA30,0.6750,0.1034,1.0000,0.1875,0.5057,3,51,0,26
InceptionV3,SVM_poly2_C0.1,PCA50,0.6750,0.1034,1.0000,0.1875,0.5037,3,51,0,26
DenseNet121,SGD_perceptron,ANOVA50_PCA5,0.6625,0.7586,0.6078,0.6197,0.7079,22,31,20,7
InceptionV3,SGD_log,ANOVA50_PCA5,0.6625,0.6897,0.6471,0.5970,0.6859,20,33,18,9
ResNet50,LogReg_C1,ANOVA200_PCA10,0.6625,0.6552,0.6667,0.5846,0.6430,19,34,17,10
ResNet50,Ridge,ANOVA200_PCA5,0.6625,0.6207,0.6863,0.5714,0.6626,18,35,16,11
ResNet50,Ridge_0.1,ANOVA200_PCA5,0.6625,0.6207,0.6863,0.5714,0.6626,18,35,16,11
ResNet50,Ridge_10,ANOVA200_PCA5,0.6625,0.6207,0.6863,0.5714,0.6626,18,35,16,11
ResNet50,MLP_128,ANOVA100_PCA5,0.6625,0.6207,0.6863,0.5714,0.6464,18,35,16,11
ResNet50,Ridge_0.1,ANOVA100_PCA5,0.6625,0.6207,0.6863,0.5714,0.6464,18,35,16,11
ResNet50,Ridge,ANOVA100_PCA5,0.6625,0.6207,0.6863,0.5714,0.6457,18,35,16,11
ResNet50,Ridge_10,ANOVA100_PCA5,0.6625,0.6207,0.6863,0.5714,0.6444,18,35,16,11
ResNet50,Ridge_10,ANOVA200_PCA10,0.6625,0.6207,0.6863,0.5714,0.6349,18,35,16,11
ResNet50,SVM_linear_C1,ANOVA50_PCA5,0.6625,0.6207,0.6863,0.5714,0.6234,18,35,16,11
DenseNet121,PassiveAggressive,ANOVA100_PCA5,0.6625,0.5862,0.7059,0.5574,0.6552,17,36,15,12
ResNet50,Ridge,PCA10,0.6625,0.5862,0.7059,0.5574,0.6471,17,36,15,12
ResNet50,Ridge_0.1,PCA10,0.6625,0.5862,0.7059,0.5574,0.6471,17,36,15,12
ResNet50,Ridge_10,PCA10,0.6625,0.5862,0.7059,0.5574,0.6471,17,36,15,12
InceptionV3,SGD_modified_huber,ANOVA200,0.6625,0.5862,0.7059,0.5574,0.6460,17,36,15,12
ResNet50,SVM_linear_C1,ANOVA200_PCA10,0.6625,0.5862,0.7059,0.5574,0.6308,17,36,15,12
ResNet50,LogReg_C0.1,ANOVA100_PCA5,0.6625,0.5862,0.7059,0.5574,0.6214,17,36,15,12
ResNet50,GBM_100,ANOVA50_PCA5,0.6625,0.5862,0.7059,0.5574,0.6133,17,36,15,12
ResNet50,GBM_100,ANOVA20,0.6625,0.5862,0.7059,0.5574,0.6082,17,36,15,12
ResNet50,LogReg_elasticnet_C0.1,ANOVA10,0.6625,0.5862,0.7059,0.5574,0.6024,17,36,15,12
ResNet50,MLP_64,ANOVA20,0.6625,0.5862,0.7059,0.5574,0.5943,17,36,15,12
ResNet50,LogReg_elasticnet_C0.1,ANOVA50_PCA5,0.6625,0.5862,0.7059,0.5574,0.5903,17,36,15,12
ResNet50,MLP_64_reg,ANOVA20,0.6625,0.5862,0.7059,0.5574,0.5882,17,36,15,12
ResNet50,LogReg_l1_C0.1,ANOVA50_PCA10,0.6625,0.5862,0.7059,0.5574,0.5822,17,36,15,12
ResNet50,LogReg_l1_C0.1,ANOVA50_PCA15,0.6625,0.5862,0.7059,0.5574,0.5822,17,36,15,12
ResNet50,LogReg_l1_C0.1,ANOVA50_PCA30,0.6625,0.5862,0.7059,0.5574,0.5822,17,36,15,12
ResNet50,LogReg_l1_C0.1,ANOVA50_PCA20,0.6625,0.5862,0.7059,0.5574,0.5815,17,36,15,12
ResNet50,LogReg_l1_C0.1,ANOVA50_PCA5,0.6625,0.5862,0.7059,0.5574,0.5801,17,36,15,12
DenseNet121,LogReg_C10,PCA10,0.6625,0.5517,0.7255,0.5424,0.6829,16,37,14,13
DenseNet121,SVM_linear_C1,ANOVA50_PCA5,0.6625,0.5517,0.7255,0.5424,0.6795,16,37,14,13
ResNet50,SVM_C1,ANOVA100,0.6625,0.5517,0.7255,0.5424,0.6477,16,37,14,13
InceptionV3,RF_100,ANOVA200_PCA5,0.6625,0.5517,0.7255,0.5424,0.6373,16,37,14,13
ResNet50,MLP_32,ANOVA100_PCA5,0.6625,0.5517,0.7255,0.5424,0.6322,16,37,14,13
InceptionV3,LogReg_C10,ANOVA100_PCA15,0.6625,0.5517,0.7255,0.5424,0.6295,16,37,14,13
InceptionV3,MLP_64_tanh,ANOVA100,0.6625,0.5517,0.7255,0.5424,0.6281,16,37,14,13
ResNet50,SVM_C0.5,ANOVA50_PCA5,0.6625,0.5517,0.7255,0.5424,0.6281,16,37,14,13
ResNet50,SVM_C0.5,ANOVA50_PCA10,0.6625,0.5517,0.7255,0.5424,0.6247,16,37,14,13
ResNet50,SVM_linear_C1,ANOVA100_PCA5,0.6625,0.5517,0.7255,0.5424,0.6200,16,37,14,13
DenseNet121,GBM_100,ANOVA200_PCA30,0.6625,0.5517,0.7255,0.5424,0.6146,16,37,14,13
ResNet50,NearestCentroid,ANOVA20,0.6625,0.5517,0.7255,0.5424,0.6092,16,37,14,13
DenseNet121,LogReg_C10,PCA20,0.6625,0.5517,0.7255,0.5424,0.6078,16,37,14,13
ResNet50,LogReg_elasticnet_C0.1,ANOVA50_PCA15,0.6625,0.5517,0.7255,0.5424,0.5916,16,37,14,13
ResNet50,LogReg_elasticnet_C0.1,ANOVA50_PCA20,0.6625,0.5517,0.7255,0.5424,0.5916,16,37,14,13
ResNet50,LogReg_elasticnet_C0.1,ANOVA50_PCA30,0.6625,0.5517,0.7255,0.5424,0.5916,16,37,14,13
DenseNet121,LogReg_C1,ANOVA100_PCA5,0.6625,0.5172,0.7451,0.5263,0.6829,15,38,13,14
DenseNet121,LogReg_l1_C1,ANOVA200_PCA10,0.6625,0.5172,0.7451,0.5263,0.6788,15,38,13,14
DenseNet121,LogReg_C0.1,ANOVA200_PCA10,0.6625,0.5172,0.7451,0.5263,0.6640,15,38,13,14
DenseNet121,LogReg_C1,ANOVA10,0.6625,0.5172,0.7451,0.5263,0.6633,15,38,13,14
ResNet50,MLP_32_16,ANOVA200_PCA10,0.6625,0.5172,0.7451,0.5263,0.6501,15,38,13,14
InceptionV3,SGD_perceptron,ANOVA200_PCA15,0.6625,0.5172,0.7451,0.5263,0.6416,15,38,13,14
DenseNet121,LogReg_C0.1,ANOVA10,0.6625,0.5172,0.7451,0.5263,0.6389,15,38,13,14
ResNet50,MLP_64_reg,ANOVA50_PCA5,0.6625,0.5172,0.7451,0.5263,0.6349,15,38,13,14
InceptionV3,MLP_128,ANOVA10,0.6625,0.5172,0.7451,0.5263,0.6268,15,38,13,14
ResNet50,SVM_C0.5,ANOVA100_PCA5,0.6625,0.5172,0.7451,0.5263,0.6241,15,38,13,14
ResNet50,MLP_128,ANOVA200_PCA5,0.6625,0.5172,0.7451,0.5263,0.6193,15,38,13,14
InceptionV3,SVM_linear_C1,ANOVA100_PCA15,0.6625,0.5172,0.7451,0.5263,0.6045,15,38,13,14
ResNet50,MLP_64_reg,ANOVA10,0.6625,0.5172,0.7451,0.5263,0.6045,15,38,13,14
InceptionV3,LogReg_l1_C1,ANOVA200_PCA5,0.6625,0.5172,0.7451,0.5263,0.6024,15,38,13,14
InceptionV3,LogReg_C0.1,ANOVA200_PCA5,0.6625,0.5172,0.7451,0.5263,0.5936,15,38,13,14
ResNet50,MLP_32,ANOVA200,0.6625,0.5172,0.7451,0.5263,0.5825,15,38,13,14
DenseNet121,GBM_100,ANOVA50_PCA30,0.6625,0.4828,0.7647,0.5091,0.6822,14,39,12,15
DenseNet121,LogReg_elasticnet_C0.1,PCA20,0.6625,0.4828,0.7647,0.5091,0.6788,14,39,12,15
DenseNet121,MLP_32_16,ANOVA100_PCA5,0.6625,0.4828,0.7647,0.5091,0.6663,14,39,12,15
DenseNet121,LogReg_elasticnet_C0.1,ANOVA200_PCA10,0.6625,0.4828,0.7647,0.5091,0.6538,14,39,12,15
DenseNet121,LogReg_elasticnet_C0.1,ANOVA200_PCA15,0.6625,0.4828,0.7647,0.5091,0.6538,14,39,12,15
DenseNet121,LogReg_elasticnet_C0.1,ANOVA200_PCA20,0.6625,0.4828,0.7647,0.5091,0.6538,14,39,12,15
DenseNet121,LogReg_elasticnet_C0.1,ANOVA200_PCA30,0.6625,0.4828,0.7647,0.5091,0.6538,14,39,12,15
DenseNet121,SVM_linear_C0.1,ANOVA50_PCA5,0.6625,0.4828,0.7647,0.5091,0.6538,14,39,12,15
DenseNet121,MLP_32,ANOVA200_PCA5,0.6625,0.4828,0.7647,0.5091,0.6484,14,39,12,15
DenseNet121,SVM_linear_C1,ANOVA50_PCA10,0.6625,0.4828,0.7647,0.5091,0.6477,14,39,12,15
DenseNet121,LogReg_C0.1,ANOVA200_PCA20,0.6625,0.4828,0.7647,0.5091,0.6477,14,39,12,15
DenseNet121,SVM_linear_C0.1,ANOVA100_PCA10,0.6625,0.4828,0.7647,0.5091,0.6471,14,39,12,15
ResNet50,SVM_C0.5,ANOVA200_PCA20,0.6625,0.4828,0.7647,0.5091,0.6471,14,39,12,15
ResNet50,MLP_128_64,ANOVA200_PCA5,0.6625,0.4828,0.7647,0.5091,0.6454,14,39,12,15
DenseNet121,LogReg_C0.1,PCA20,0.6625,0.4828,0.7647,0.5091,0.6423,14,39,12,15
DenseNet121,Ridge_10,ANOVA200_PCA5,0.6625,0.4828,0.7647,0.5091,0.6416,14,39,12,15
DenseNet121,LogReg_l1_C1,PCA20,0.6625,0.4828,0.7647,0.5091,0.6383,14,39,12,15
InceptionV3,MLP_64_tanh,ANOVA50,0.6625,0.4828,0.7647,0.5091,0.6349,14,39,12,15
ResNet50,GBM_200,ANOVA10,0.6625,0.4828,0.7647,0.5091,0.6335,14,39,12,15
ResNet50,GBM_200,ANOVA200_PCA5,0.6625,0.4828,0.7647,0.5091,0.6329,14,39,12,15
DenseNet121,GBM_100,ANOVA10,0.6625,0.4828,0.7647,0.5091,0.6160,14,39,12,15
DenseNet121,MLP_64_tanh,ANOVA100_PCA30,0.6625,0.4828,0.7647,0.5091,0.6146,14,39,12,15
ResNet50,MLP_64,ANOVA200_PCA5,0.6625,0.4828,0.7647,0.5091,0.6065,14,39,12,15
DenseNet121,GBM_200,ANOVA10,0.6625,0.4828,0.7647,0.5091,0.6065,14,39,12,15
ResNet50,MLP_32,ANOVA100_PCA10,0.6625,0.4828,0.7647,0.5091,0.6045,14,39,12,15
ResNet50,SVM_C10,ANOVA100_PCA30,0.6625,0.4828,0.7647,0.5091,0.6018,14,39,12,15
InceptionV3,LogReg_C0.1,ANOVA200_PCA10,0.6625,0.4828,0.7647,0.5091,0.5957,14,39,12,15
ResNet50,MLP_64,ANOVA100_PCA15,0.6625,0.4828,0.7647,0.5091,0.5896,14,39,12,15
ResNet50,MLP_64_reg,ANOVA100_PCA15,0.6625,0.4828,0.7647,0.5091,0.5862,14,39,12,15
DenseNet121,Ridge_0.1,ANOVA100_PCA30,0.6625,0.4828,0.7647,0.5091,0.5713,14,39,12,15
InceptionV3,LogReg_elasticnet_C0.1,PCA30,0.6625,0.4828,0.7647,0.5091,0.5686,14,39,12,15
DenseNet121,GBM_100,ANOVA50_PCA10,0.6625,0.4828,0.7647,0.5091,0.5666,14,39,12,15
ResNet50,MLP_128_64_reg,ANOVA200,0.6625,0.4828,0.7647,0.5091,0.5524,14,39,12,15
ResNet50,SVM_C1,ANOVA200_PCA10,0.6625,0.4483,0.7843,0.4906,0.6694,13,40,11,16
DenseNet121,MLP_128,PCA50,0.6625,0.4483,0.7843,0.4906,0.6626,13,40,11,16
DenseNet121,SVM_C10,PCA15,0.6625,0.4483,0.7843,0.4906,0.6606,13,40,11,16
DenseNet121,Ridge_0.1,ANOVA50_PCA5,0.6625,0.4483,0.7843,0.4906,0.6572,13,40,11,16
DenseNet121,Ridge,ANOVA50_PCA5,0.6625,0.4483,0.7843,0.4906,0.6565,13,40,11,16
DenseNet121,SVM_C10,ANOVA200_PCA10,0.6625,0.4483,0.7843,0.4906,0.6464,13,40,11,16
DenseNet121,LogReg_elasticnet_C0.1,ANOVA20,0.6625,0.4483,0.7843,0.4906,0.6457,13,40,11,16
DenseNet121,MLP_64_tanh,PCA20,0.6625,0.4483,0.7843,0.4906,0.6444,13,40,11,16
DenseNet121,LogReg_elasticnet_C0.1,ANOVA100,0.6625,0.4483,0.7843,0.4906,0.6396,13,40,11,16
DenseNet121,Ridge,PCA30,0.6625,0.4483,0.7843,0.4906,0.6349,13,40,11,16
DenseNet121,Ridge_0.1,PCA30,0.6625,0.4483,0.7843,0.4906,0.6349,13,40,11,16
DenseNet121,SVM_C10,ANOVA100_PCA15,0.6625,0.4483,0.7843,0.4906,0.6315,13,40,11,16
InceptionV3,LogReg_elasticnet_C0.1,ANOVA100_PCA10,0.6625,0.4483,0.7843,0.4906,0.6308,13,40,11,16
DenseNet121,LogReg_l1_C0.1,ANOVA50_PCA10,0.6625,0.4483,0.7843,0.4906,0.6275,13,40,11,16
DenseNet121,LogReg_l1_C0.1,ANOVA50_PCA15,0.6625,0.4483,0.7843,0.4906,0.6275,13,40,11,16
DenseNet121,LogReg_l1_C0.1,ANOVA50_PCA20,0.6625,0.4483,0.7843,0.4906,0.6275,13,40,11,16
DenseNet121,LogReg_l1_C0.1,ANOVA50_PCA30,0.6625,0.4483,0.7843,0.4906,0.6275,13,40,11,16
DenseNet121,LogReg_l1_C0.1,ANOVA50_PCA5,0.6625,0.4483,0.7843,0.4906,0.6275,13,40,11,16
DenseNet121,SVM_linear_C0.1,ANOVA200_PCA30,0.6625,0.4483,0.7843,0.4906,0.6268,13,40,11,16
InceptionV3,MLP_64,ANOVA20,0.6625,0.4483,0.7843,0.4906,0.6247,13,40,11,16
InceptionV3,MLP_32_16,ANOVA50,0.6625,0.4483,0.7843,0.4906,0.6241,13,40,11,16
DenseNet121,LogReg_C1,ANOVA50_PCA20,0.6625,0.4483,0.7843,0.4906,0.6234,13,40,11,16
ResNet50,MLP_128,ANOVA100_PCA10,0.6625,0.4483,0.7843,0.4906,0.6234,13,40,11,16
DenseNet121,LogReg_C1,ANOVA50,0.6625,0.4483,0.7843,0.4906,0.6200,13,40,11,16
DenseNet121,LogReg_C1,ANOVA50_PCA30,0.6625,0.4483,0.7843,0.4906,0.6187,13,40,11,16
InceptionV3,SVM_C10,ANOVA100_PCA5,0.6625,0.4483,0.7843,0.4906,0.6180,13,40,11,16
ResNet50,NearestCentroid,PCA15,0.6625,0.4483,0.7843,0.4906,0.6180,13,40,11,16
InceptionV3,LogReg_C0.1,ANOVA20,0.6625,0.4483,0.7843,0.4906,0.6166,13,40,11,16
InceptionV3,SGD_log,PCA50,0.6625,0.4483,0.7843,0.4906,0.6095,13,40,11,16
ResNet50,SVM_C10,ANOVA200_PCA30,0.6625,0.4483,0.7843,0.4906,0.6078,13,40,11,16
DenseNet121,Ridge_10,PCA15,0.6625,0.4483,0.7843,0.4906,0.6065,13,40,11,16
InceptionV3,SVM_linear_C0.1,ANOVA200_PCA5,0.6625,0.4483,0.7843,0.4906,0.6065,13,40,11,16
DenseNet121,Ridge,PCA15,0.6625,0.4483,0.7843,0.4906,0.6051,13,40,11,16
DenseNet121,Ridge_0.1,PCA15,0.6625,0.4483,0.7843,0.4906,0.6045,13,40,11,16
ResNet50,QDA,ANOVA200_PCA15,0.6625,0.4483,0.7843,0.4906,0.6045,13,40,11,16
InceptionV3,SVM_C10,ANOVA200_PCA5,0.6625,0.4483,0.7843,0.4906,0.5936,13,40,11,16
InceptionV3,MLP_64_reg,ANOVA50_PCA30,0.6625,0.4483,0.7843,0.4906,0.5909,13,40,11,16
DenseNet121,Ridge,ANOVA50_PCA20,0.6625,0.4483,0.7843,0.4906,0.5903,13,40,11,16
DenseNet121,LDA,ANOVA100_PCA30,0.6625,0.4483,0.7843,0.4906,0.5882,13,40,11,16
InceptionV3,SGD_hinge,ANOVA50_PCA10,0.6625,0.4483,0.7843,0.4906,0.5767,13,40,11,16
InceptionV3,LogReg_C1,PCA50,0.6625,0.4483,0.7843,0.4906,0.5747,13,40,11,16
InceptionV3,LogReg_C0.1,PCA30,0.6625,0.4483,0.7843,0.4906,0.5625,13,40,11,16
ResNet50,NearestCentroid,PCA20,0.6625,0.4483,0.7843,0.4906,0.5558,13,40,11,16
InceptionV3,LogReg_l1_C1,PCA30,0.6625,0.4483,0.7843,0.4906,0.5463,13,40,11,16
DenseNet121,MLP_32,ANOVA100_PCA5,0.6625,0.4138,0.8039,0.4706,0.6721,12,41,10,17
DenseNet121,MLP_64,PCA50,0.6625,0.4138,0.8039,0.4706,0.6484,12,41,10,17
ResNet50,SVM_C10,ANOVA100_PCA20,0.6625,0.4138,0.8039,0.4706,0.6416,12,41,10,17
DenseNet121,MLP_64_reg,PCA50,0.6625,0.4138,0.8039,0.4706,0.6403,12,41,10,17
DenseNet121,SVM_C1,ANOVA50_PCA20,0.6625,0.4138,0.8039,0.4706,0.6396,12,41,10,17
DenseNet121,SVM_C1,ANOVA50_PCA10,0.6625,0.4138,0.8039,0.4706,0.6389,12,41,10,17
DenseNet121,SVM_C1,ANOVA50,0.6625,0.4138,0.8039,0.4706,0.6376,12,41,10,17
DenseNet121,SVM_C1,ANOVA50_PCA30,0.6625,0.4138,0.8039,0.4706,0.6376,12,41,10,17
DenseNet121,RF_500,ANOVA10,0.6625,0.4138,0.8039,0.4706,0.6352,12,41,10,17
DenseNet121,LogReg_elasticnet_C0.1,ANOVA50_PCA10,0.6625,0.4138,0.8039,0.4706,0.6335,12,41,10,17
DenseNet121,LogReg_elasticnet_C0.1,ANOVA50_PCA15,0.6625,0.4138,0.8039,0.4706,0.6335,12,41,10,17
DenseNet121,LogReg_elasticnet_C0.1,ANOVA50_PCA20,0.6625,0.4138,0.8039,0.4706,0.6335,12,41,10,17
DenseNet121,LogReg_elasticnet_C0.1,ANOVA50_PCA30,0.6625,0.4138,0.8039,0.4706,0.6335,12,41,10,17
DenseNet121,LogReg_elasticnet_C0.1,ANOVA50_PCA5,0.6625,0.4138,0.8039,0.4706,0.6335,12,41,10,17
DenseNet121,Ridge_10,ANOVA200_PCA15,0.6625,0.4138,0.8039,0.4706,0.6302,12,41,10,17
DenseNet121,SVM_C1,ANOVA100,0.6625,0.4138,0.8039,0.4706,0.6288,12,41,10,17
DenseNet121,SVM_C1,ANOVA100_PCA30,0.6625,0.4138,0.8039,0.4706,0.6281,12,41,10,17
DenseNet121,MLP_128_64_reg,PCA20,0.6625,0.4138,0.8039,0.4706,0.6261,12,41,10,17
ResNet50,LDA,ANOVA200_PCA10,0.6625,0.4138,0.8039,0.4706,0.6247,12,41,10,17
ResNet50,ExtraTrees_100,ANOVA200_PCA10,0.6625,0.4138,0.8039,0.4706,0.6163,12,41,10,17
ResNet50,SVM_C0.1_calibrated,ANOVA200_PCA15,0.6625,0.4138,0.8039,0.4706,0.6160,12,41,10,17
DenseNet121,QDA,PCA50,0.6625,0.4138,0.8039,0.4706,0.6089,12,41,10,17
DenseNet121,MLP_128,PCA20,0.6625,0.4138,0.8039,0.4706,0.6078,12,41,10,17
InceptionV3,LogReg_elasticnet_C0.1,ANOVA200_PCA10,0.6625,0.4138,0.8039,0.4706,0.6024,12,41,10,17
InceptionV3,LogReg_elasticnet_C0.1,ANOVA200_PCA5,0.6625,0.4138,0.8039,0.4706,0.6004,12,41,10,17
InceptionV3,RF_500,ANOVA100_PCA5,0.6625,0.4138,0.8039,0.4706,0.5974,12,41,10,17
DenseNet121,MLP_64_tanh,ANOVA100_PCA15,0.6625,0.4138,0.8039,0.4706,0.5950,12,41,10,17
InceptionV3,ExtraTrees_100,ANOVA100_PCA5,0.6625,0.4138,0.8039,0.4706,0.5899,12,41,10,17
ResNet50,LogReg_C0.1,PCA50,0.6625,0.4138,0.8039,0.4706,0.5855,12,41,10,17
DenseNet121,MLP_64_tanh,ANOVA50_PCA5,0.6625,0.3793,0.8235,0.4490,0.6430,11,42,9,18
DenseNet121,SVM_C0.5,ANOVA50_PCA10,0.6625,0.3793,0.8235,0.4490,0.6430,11,42,9,18
DenseNet121,ExtraTrees_100,ANOVA100_PCA5,0.6625,0.3793,0.8235,0.4490,0.6406,11,42,9,18
DenseNet121,SVM_C1,ANOVA50_PCA15,0.6625,0.3793,0.8235,0.4490,0.6376,11,42,9,18
DenseNet121,QDA,ANOVA10,0.6625,0.3793,0.8235,0.4490,0.6251,11,42,9,18
ResNet50,SVM_C0.5,PCA10,0.6625,0.3793,0.8235,0.4490,0.6166,11,42,9,18
DenseNet121,MLP_64_reg,PCA30,0.6625,0.3793,0.8235,0.4490,0.6160,11,42,9,18
ResNet50,LogReg_C10,PCA50,0.6625,0.3793,0.8235,0.4490,0.6136,11,42,9,18
InceptionV3,LogReg_l1_C0.1,ANOVA200_PCA10,0.6625,0.3793,0.8235,0.4490,0.6085,11,42,9,18
